20:12:58.249131 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:12:59.247527 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:13:00.245403 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:13:01.242919 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:13:09.952695 IP 192.168.223.1.netbios-ns > 192.168.223.255.netbios-ns: NBT UDP PACKET(137): QUERY; REQUEST; BROADCAST
20:13:09.953253 IP6 fe80::3dba:e004:3100:7892.50272 > ff02::1:3.hostmon: UDP, length 22
20:13:09.953405 IP 192.168.223.1.50272 > 224.0.0.252.hostmon: UDP, length 22
20:13:09.953868 IP6 fe80::3dba:e004:3100:7892.60026 > ff02::1:3.hostmon: UDP, length 22
20:13:09.953992 IP 192.168.223.1.60026 > 224.0.0.252.hostmon: UDP, length 22
20:13:10.362396 IP6 fe80::3dba:e004:3100:7892.50272 > ff02::1:3.hostmon: UDP, length 22
20:13:10.362538 IP 192.168.223.1.50272 > 224.0.0.252.hostmon: UDP, length 22
20:13:10.363450 IP6 fe80::3dba:e004:3100:7892.60026 > ff02::1:3.hostmon: UDP, length 22
20:13:10.363522 IP 192.168.223.1.60026 > 224.0.0.252.hostmon: UDP, length 22
20:13:10.701208 IP 192.168.223.1.netbios-ns > 192.168.223.255.netbios-ns: NBT UDP PACKET(137): QUERY; REQUEST; BROADCAST
20:13:11.449300 IP 192.168.223.1.netbios-ns > 192.168.223.255.netbios-ns: NBT UDP PACKET(137): QUERY; REQUEST; BROADCAST
20:13:12.000267 IP 192.168.223.1.57621 > 192.168.223.255.57621: UDP, length 44
20:13:23.854105 ARP, Request who-has 192.168.223.126 (Broadcast) tell 192.168.223.130, length 46
20:13:23.856436 ARP, Request who-has 192.168.223.115 (Broadcast) tell 192.168.223.130, length 46
20:13:23.858918 ARP, Request who-has 192.168.223.118 (Broadcast) tell 192.168.223.130, length 46
20:13:23.951721 ARP, Request who-has 192.168.223.2 (Broadcast) tell 192.168.223.130, length 46
20:13:23.951937 ARP, Request who-has 192.168.223.121 (Broadcast) tell 192.168.223.130, length 46
20:13:23.952024 ARP, Request who-has 192.168.223.122 (Broadcast) tell 192.168.223.130, length 46
20:13:23.952103 ARP, Reply 192.168.223.2 is-at 00:50:56:fc:bf:19 (oui Unknown), length 46
20:13:23.954205 ARP, Request who-has 192.168.223.123 (Broadcast) tell 192.168.223.130, length 46
20:13:23.954385 ARP, Request who-has 192.168.223.126 (Broadcast) tell 192.168.223.130, length 46
20:13:23.954437 ARP, Request who-has 192.168.223.136 (Broadcast) tell 192.168.223.130, length 46
20:13:23.954478 ARP, Request who-has 192.168.223.137 (Broadcast) tell 192.168.223.130, length 46
20:13:23.954484 ARP, Request who-has 192.168.223.138 (Broadcast) tell 192.168.223.130, length 46
20:13:23.954486 ARP, Request who-has 192.168.223.139 (Broadcast) tell 192.168.223.130, length 46
20:13:23.954487 ARP, Request who-has 192.168.223.140 (Broadcast) tell 192.168.223.130, length 46
20:13:23.956706 ARP, Request who-has 192.168.223.143 (Broadcast) tell 192.168.223.130, length 46
20:13:23.959797 ARP, Request who-has 192.168.223.146 (Broadcast) tell 192.168.223.130, length 46
20:13:24.054324 ARP, Request who-has 192.168.223.149 (Broadcast) tell 192.168.223.130, length 46
